First name,Last name,Position,State,Zip,DOB,Sex,MaritalDesc,DateofHire,DateofTermination,TermReason,EmploymentStatus,Department,ManagerName,RecruitmentSource,PerformanceScore,EngagementSurvey,EmpSatisfaction
England, Rex,Production Technician I,MA,2045,08/25/78,M ,Married,3/31/2014,,N/A - still employed,Active,Production       ,Kelley Spirea,Employee Referral,Fully Meets,2.05,3
Gaul, Barbara,Production Technician I,MA,2121,2/12/1983,F,Single,5/16/2011,,N/A - still employed,Active,Production       ,Kelley Spirea,MBTA ads,Fully Meets,1.66,4
Gross, Paula,Production Technician I,MA,2176,05/21/83,F,Divorced,2/21/2011,11/1/2014,more money,Voluntarily Terminated,Production       ,Kelley Spirea,Monster.com,Fully Meets,5.00,5
Jhaveri, Sneha  ,Production Technician I,MA,2109,04/13/64,F,Separated,6/1/2014,,N/A - still employed,Active,Production       ,Kelley Spirea,On-campus Recruiting,Fully Meets,5.00,5
LeBel, Jonathan  R,Production Technician I,MA,2050,10/18/81,M ,Single,2/21/2011,4/8/2011,attendance,Terminated for Cause,Production       ,Kelley Spirea,Social Networks - Facebook Twitter etc,Fully Meets,5.00,4
Meads, Elizabeth,Production Technician I,MA,1760,05/30/68,F,Single,2/4/2012,11/11/2015,Another position,Voluntarily Terminated,Production       ,Kelley Spirea,Diversity Job Fair,Fully Meets,4.18,4
Osturnka, Adeel,Production Technician I,MA,2478,11/12/1976,M ,Married,9/30/2013,,N/A - still employed,Active,Production       ,Kelley Spirea,On-campus Recruiting,Exceeds,2.86,3
Punjabhi, Louis  ,Production Technician I,MA,2109,06/19/61,M ,Single,6/1/2014,,N/A - still employed,Active,Production       ,Kelley Spirea,Employee Referral,Fully Meets,2.45,3
Saar-Beckles, Melinda,Production Technician I,MA,1801,6/6/1968,F,Single,4/7/2016,,N/A - Has not started yet,Future Start,Production       ,Kelley Spirea,Diversity Job Fair,Needs Improvement,1.12,4
Stoica, Rick,Production Technician I,MA,2301,03/14/85,M ,Married,2/17/2014,,N/A - still employed,Active,Production       ,Kelley Spirea,On-campus Recruiting,Fully Meets,1.39,3
Volk, Colleen,Production Technician I,MA,2747,3/6/1986,F,Married,9/26/2011,8/2/2016,gross misconduct,Terminated for Cause,Production       ,Kelley Spirea,Social Networks - Facebook Twitter etc,Exceeds,2.79,5
Athwal, Sam,Production Technician I,MA,2199,02/18/83,M ,Widowed,9/30/2013,,N/A - still employed,Active,Production       ,Ketsia Liebig,Employee Referral,Fully Meets,5.00,4
Biden, Lowan  M,Production Technician I,MA,2027,12/27/58,F,Divorced,8/19/2013,,N/A - still employed,Active,Production       ,Ketsia Liebig,Billboard,Fully Meets,2.39,3
Cierpiszewski, Caroline  ,Production Technician I,MA,2044,05/31/88,F,Single,3/10/2011,,N/A - still employed,Active,Production       ,Ketsia Liebig,Pay Per Click - Google,Fully Meets,3.58,5
Dickinson, Geoff ,Production Technician I,MA,2180,11/15/82,M ,Single,12/5/2014,,N/A - still employed,Active,Production       ,Ketsia Liebig,Pay Per Click - Google,Fully Meets,1.13,4
Ferreira, Violeta,Production Technician I,MA,2176,10/6/1986,F,Single,2/20/2012,,N/A - still employed,Active,Production       ,Ketsia Liebig,Newspager/Magazine,Fully Meets,1.85,4
Gold, Shenice  ,Production Technician I,MA,2451,06/18/92,F,Single,11/11/2013,,N/A - still employed,Active,Production       ,Ketsia Liebig,Glassdoor,Fully Meets,1.94,5
Heitzman, Anthony,Production Technician I,MA,2149,4/1/1984,M ,Single,8/13/2012,,N/A - still employed,Active,Production       ,Ketsia Liebig,Social Networks - Facebook Twitter etc,Fully Meets,4.17,4
Knapp, Bradley  J,Production Technician I,MA,1721,10/11/1977,M ,Single,2/17/2014,,N/A - still employed,Active,Production       ,Ketsia Liebig,On-campus Recruiting,Fully Meets,2.79,3
Mahoney, Lauren  ,Production Technician I,MA,2189,7/7/1986,F,Single,6/1/2014,,N/A - still employed,Active,Production       ,Ketsia Liebig,Newspager/Magazine,Fully Meets,2.55,4
Newman, Richard ,Production Technician I,MA,2136,8/4/1977,M ,Married,12/5/2014,,N/A - still employed,Leave of Absence,Production       ,Ketsia Liebig,On-campus Recruiting,Fully Meets,5.00,5
Peterson, Kayla ,Production Technician I,MA,1749,09/23/73,F,Married,4/26/2010,,N/A - still employed,Active,Production       ,Ketsia Liebig,Search Engine - Google Bing Yahoo,Fully Meets,2.72,3
Robinson, Cherly,Production Technician I,MA,1460,7/1/1985,F,Married,10/1/2011,05/17/16,attendance,Terminated for Cause,Production       ,Ketsia Liebig,Glassdoor,Needs Improvement,3.60,3
Smith, Sade,Production Technician I,MA,2130,2/2/1965,F,Single,11/11/2013,,N/A - still employed,Active,Production       ,Ketsia Liebig,Employee Referral,Fully Meets,3.73,3
Tinto, Theresa  ,Production Technician I,MA,1876,07/30/83,F,Divorced,10/1/2011,05/14/11,Another position,Voluntarily Terminated,Production       ,Ketsia Liebig,Social Networks - Facebook Twitter etc,Fully Meets,2.81,5
Williams, Jacquelyn  ,Production Technician I,MA,2109,2/10/1969,F,Single,9/1/2012,06/27/15,relocation out of area,Voluntarily Terminated,Production       ,Ketsia Liebig,Diversity Job Fair,Fully Meets,1.44,4
Barbara, Thomas,Production Technician I,MA,2062,02/21/74,M ,Married,2/4/2012,09/19/12,unhappy,Voluntarily Terminated,Production       ,Kissy Sullivan,Diversity Job Fair,Fully Meets,1.98,3
Bugali, Josephine ,Production Technician I,MA,2043,10/30/69,F,Separated,11/11/2013,,N/A - still employed,Leave of Absence,Production       ,Kissy Sullivan,Diversity Job Fair,Fully Meets,2.83,5
Cole, Spencer,Production Technician I,MA,1880,12/8/1979,M ,Single,11/7/2011,09/23/12,performance,Terminated for Cause,Production       ,Kissy Sullivan,MBTA ads,Needs Improvement,1.42,3
Eaton, Marianne,Production Technician I,MA,2343,5/9/1991,F,Married,4/4/2011,6/6/2013,military,Voluntarily Terminated,Production       ,Kissy Sullivan,Search Engine - Google Bing Yahoo,Fully Meets,5.00,3
Garneau, Hamish,Production Technician I,MA,1550,04/18/80,M ,Single,8/7/2013,,N/A - still employed,Active,Production       ,Kissy Sullivan,Professional Society,Fully Meets,2.61,4
Goyal, Roxana,Production Technician I,MA,1864,9/10/1974,F,Married,8/19/2013,,N/A - still employed,Leave of Absence,Production       ,Kissy Sullivan,On-campus Recruiting,Fully Meets,1.71,5
Jacobi, Hannah  ,Production Technician I,MA,1778,03/22/66,F,Divorced,9/30/2013,,N/A - still employed,Active,Production       ,Kissy Sullivan,Employee Referral,Fully Meets,2.05,5
Leach, Dallas,Production Technician I,MA,1810,01/17/79,F,Single,9/26/2011,08/19/13,return to school,Voluntarily Terminated,Production       ,Kissy Sullivan,Monster.com,Fully Meets,4.88,3
Mckenna, Sandy,Production Technician I,MA,2184,7/1/1987,F,Married,7/1/2013,,N/A - still employed,Active,Production       ,Kissy Sullivan,Monster.com,Fully Meets,3.93,3
O'hare, Lynn,Production Technician I,MA,2152,09/30/80,F,Single,3/31/2014,1/5/2016,performance,Terminated for Cause,Production       ,Kissy Sullivan,Professional Society,PIP,3.09,2
Power, Morissa,Production Technician I,MA,1742,10/15/84,F,Divorced,5/16/2011,4/6/2011,Another position,Voluntarily Terminated,Production       ,Kissy Sullivan,Social Networks - Facebook Twitter etc,Fully Meets,3.17,4
Purinton, Janine,Production Technician I,MA,2474,09/22/70,F,Divorced,9/24/2012,06/18/13,unhappy,Voluntarily Terminated,Production       ,Kissy Sullivan,Billboard,Fully Meets,1.50,5
Rossetti, Bruno,Production Technician I,MA,2155,03/18/87,M ,Single,4/4/2011,08/13/12,Another position,Voluntarily Terminated,Production       ,Kissy Sullivan,Search Engine - Google Bing Yahoo,Fully Meets,5.00,5
Stanford,Barbara  M,Production Technician I,MA,2050,08/25/82,F,Divorced,10/1/2011,,N/A - still employed,Active,Production       ,Kissy Sullivan,Word of Mouth,Fully Meets,1.05,4
Veera, Abdellah ,Production Technician I,MA,2171,01/31/87,M ,Divorced,8/13/2012,5/2/2016,maternity leave - did not return,Voluntarily Terminated,Production       ,Kissy Sullivan,Information Session,Exceeds,3.84,5
Adinolfi, Wilson  K,Production Technician I,MA,1960,10/7/1983,M ,Single,5/7/2011,,N/A - still employed,Active,Production       ,Michael Albert,MBTA ads,Exceeds,2.51,5
Barton, Nader,Production Technician I,MA,2747,07/15/77,M ,Divorced,9/24/2012,6/4/2013,Another position,Voluntarily Terminated,Production       ,Michael Albert,On-line Web application,Fully Meets,5.00,5
Chace, Beatrice ,Production Technician I,MA,2763,2/1/1951,F,Single,9/29/2014,,N/A - still employed,Active,Production       ,Michael Albert,Search Engine - Google Bing Yahoo,Fully Meets,5.00,4
Crimmings,   Jean,Production Technician I,MA,1821,10/4/1987,F,Single,6/7/2016,,N/A - Has not started yet,Future Start,Production       ,Michael Albert,Newspager/Magazine,Fully Meets,4.12,5
Estremera, Miguel,Production Technician I,MA,2129,2/9/1983,M ,Single,2/4/2012,09/27/14,attendance,Terminated for Cause,Production       ,Michael Albert,Word of Mouth,Needs Improvement,5.00,4
Gentry, Mildred,Production Technician I,MA,2145,1/10/1990,F,Married,3/30/2015,,N/A - still employed,Active,Production       ,Michael Albert,Professional Society,Fully Meets,3.73,3
Handschiegl, Joanne,Production Technician I,MA,2127,03/23/77,F,Married,11/28/2011,,N/A - still employed,Active,Production       ,Michael Albert,Word of Mouth,Fully Meets,4.20,4
Johnson, George,Production Technician I,MA,2445,08/19/59,M ,Married,7/11/2011,04/29/16,more money,Voluntarily Terminated,Production       ,Michael Albert,Monster.com,Exceeds,1.65,4
Keatts, Kramer ,Production Technician I,MA,1887,01/19/76,M ,Single,9/30/2013,,N/A - still employed,Active,Production       ,Michael Albert,Billboard,Fully Meets,3.07,4
Linares, Marilyn ,Production Technician I,MA,1886,03/26/81,F,Married,5/7/2011,09/26/11,unhappy,Voluntarily Terminated,Production       ,Michael Albert,Internet Search,Fully Meets,3.18,4
Medeiros, Jennifer,Production Technician I,MA,2346,09/22/76,F,Single,3/30/2015,,N/A - still employed,Active,Production       ,Michael Albert,Monster.com,Fully Meets,5.00,4
Owad, Clinton,Production Technician I,MA,1760,11/24/79,M ,Single,2/17/2014,,N/A - still employed,Active,Production       ,Michael Albert,MBTA ads,Needs Improvement,4.25,3
Rarrick, Quinn,Production Technician I,MA,2478,12/31/84,M ,Divorced,9/26/2011,7/4/2012,more money,Voluntarily Terminated,Production       ,Michael Albert,Pay Per Click - Google,Fully Meets,3.80,5
Sadki, Nore  ,Production Technician I,MA,2148,12/21/74,M ,Single,5/1/2009,07/30/10,relocation out of area,Voluntarily Terminated,Production       ,Michael Albert,Word of Mouth,Fully Meets,1.53,5
Sullivan, Timothy,Production Technician I,MA,2747,7/10/1982,M ,Married,5/1/2015,,N/A - still employed,Active,Production       ,Michael Albert,Word of Mouth,Fully Meets,4.36,5
Von Massenbach, Anna,Production Technician I,MA,2124,6/4/1985,F,Single,5/7/2015,,N/A - Has not started yet,Future Start,Production       ,Michael Albert,Newspager/Magazine,Fully Meets,3.21,3
Anderson, Carol ,Production Technician I,MA,2169,8/9/1989,F,Divorced,11/7/2011,6/9/2011,return to school,Voluntarily Terminated,Production       ,Webster Butler,Word of Mouth,Fully Meets,5.00,4
Becker, Scott,Production Technician I,MA,2452,6/4/1979,M ,Single,8/7/2013,,N/A - still employed,Leave of Absence,Production       ,Webster Butler,MBTA ads,Fully Meets,1.09,4
Chang, Donovan  E,Production Technician I,MA,1845,08/24/83,M ,Single,8/7/2013,,N/A - still employed,Active,Production       ,Webster Butler,Newspager/Magazine,Fully Meets,3.80,5
DeGweck,  James,Production Technician I,MA,1810,10/31/77,M ,Married,5/16/2011,8/6/2015,unhappy,Voluntarily Terminated,Production       ,Webster Butler,Billboard,Fully Meets,5.00,4
Ferguson, Susan,Production Technician I,MA,2176,04/14/55,F,Married,7/11/2011,05/17/14,military,Voluntarily Terminated,Production       ,Webster Butler,Search Engine - Google Bing Yahoo,Fully Meets,3.13,3
Gilles, Alex,Production Technician I,MA,2062,9/8/1974,M ,Married,2/4/2012,06/25/15,military,Voluntarily Terminated,Production       ,Webster Butler,Diversity Job Fair,Needs Improvement,3.97,4
Harrington, Christie ,Production Technician I,MA,2324,08/18/52,F,Single,9/1/2012,12/15/15,retiring,Voluntarily Terminated,Production       ,Webster Butler,Monster.com,Fully Meets,4.64,4
Kinsella, Kathleen  ,Production Technician I,MA,2170,8/12/1973,F,Married,9/26/2011,4/6/2015,more money,Voluntarily Terminated,Production       ,Webster Butler,Search Engine - Google Bing Yahoo,Fully Meets,3.60,5
Lynch, Lindsay,Production Technician I,MA,1844,02/14/73,F,Single,7/11/2011,11/14/15,Another position,Voluntarily Terminated,Production       ,Webster Butler,Diversity Job Fair,Exceeds,5.00,4
Ndzi, Colombui,Production Technician I,MA,2110,2/5/1989,M ,Single,9/26/2011,4/4/2014,return to school,Voluntarily Terminated,Production       ,Webster Butler,Diversity Job Fair,Fully Meets,2.61,3
Pelech, Emil,Production Technician I,MA,2458,03/17/88,M ,Single,10/1/2011,12/28/12,career change,Voluntarily Terminated,Production       ,Webster Butler,Search Engine - Google Bing Yahoo,Needs Improvement,3.54,5
Rivera, Haley  ,Production Technician I,MA,2171,12/1/1973,F,Married,11/28/2011,,N/A - still employed,Active,Production       ,Webster Butler,Search Engine - Google Bing Yahoo,Exceeds,4.36,5
Sewkumar, Nori,Production Technician I,MA,2191,10/3/1975,F,Single,9/30/2013,,N/A - still employed,Leave of Absence,Production       ,Webster Butler,Search Engine - Google Bing Yahoo,Fully Meets,5.00,5
Tavares, Desiree  ,Production Technician I,MA,1801,3/4/1975,F,Married,4/27/2009,1/4/2013,Another position,Voluntarily Terminated,Production       ,Webster Butler,Diversity Job Fair,Fully Meets,2.52,5
Whittier, Scott,Production Technician I,MA,2030,05/24/87,M ,Single,10/1/2011,05/15/11,hours,Voluntarily Terminated,Production       ,Webster Butler,Newspager/Magazine,Fully Meets,5.00,5
Burke, Joelle,Production Technician II,MA,2148,2/3/1980,F,Single,5/3/2012,,N/A - still employed,Active,Production       ,Amy Dunn,Employee Referral,Fully Meets,4.51,4
Fitzpatrick, Michael  J,Production Technician II,MA,2143,1/10/1981,M ,Single,5/16/2011,06/24/13,hours,Voluntarily Terminated,Production       ,Amy Dunn,Social Networks - Facebook Twitter etc,Fully Meets,4.76,5
Huynh, Ming,Production Technician II,MA,1742,09/22/76,F,Divorced,2/21/2011,1/4/2013,unhappy,Voluntarily Terminated,Production       ,Amy Dunn,Search Engine - Google Bing Yahoo,Fully Meets,3.72,3
Mancuso, Karen,Production Technician II,MA,2176,10/12/1986,F,Married,5/7/2011,08/19/11,Another position,Voluntarily Terminated,Production       ,Amy Dunn,Newspager/Magazine,Fully Meets,5.00,4
Pelletier, Ermine,Production Technician II,MA,2472,07/18/89,F,Married,5/7/2011,09/15/11,unhappy,Voluntarily Terminated,Production       ,Amy Dunn,Monster.com,Needs Improvement,1.03,5
Trzeciak, Cybil,Production Technician II,MA,1778,03/15/85,F,Single,10/1/2011,2/7/2012,unhappy,Voluntarily Terminated,Production       ,Amy Dunn,Vendor Referral,Fully Meets,1.30,3
Cloninger, Jennifer,Production Technician II,MA,1752,08/31/81,F,Married,5/16/2011,7/1/2013,unhappy,Voluntarily Terminated,Production       ,Brannon Miller,Word of Mouth,Fully Meets,1.16,5
Gonzalez, Juan,Production Technician II,MA,2128,12/10/1964,M ,Married,4/26/2010,05/30/11,career change,Voluntarily Terminated,Production       ,Brannon Miller,Diversity Job Fair,PIP,4.35,3
Johnston, Yen,Production Technician II,MA,2128,8/9/1969,F,Single,7/7/2014,,N/A - still employed,Active,Production       ,Brannon Miller,Professional Society,Exceeds,1.51,3
Miller, Ned,Production Technician II,MA,2472,06/29/85,M ,Single,8/15/2011,4/9/2014,unhappy,Voluntarily Terminated,Production       ,Brannon Miller,MBTA ads,PIP,5.00,2
Petingill, Shana  ,Production Technician II,MA,2050,10/3/1979,F,Married,2/4/2012,,N/A - still employed,Active,Production       ,Brannon Miller,MBTA ads,Fully Meets,2.61,3
Winthrop, Jordan  ,Production Technician II,MA,2045,7/11/1958,M ,Single,7/1/2013,02/21/16,retiring,Voluntarily Terminated,Production       ,Brannon Miller,Professional Society,Exceeds,1.67,3
Close, Phil,Production Technician II,MA,2169,11/25/78,M ,Married,8/30/2010,09/26/11,career change,Voluntarily Terminated,Production       ,David Stanley,Other,Fully Meets,1.30,4
Good, Susan,Production Technician II,MA,1886,05/25/86,F,Married,12/5/2014,,N/A - still employed,Leave of Absence,Production       ,David Stanley,Professional Society,Fully Meets,2.04,3
Langford, Lindsey,Production Technician II,MA,2090,07/25/79,F,Divorced,7/1/2013,03/31/14,Another position,Voluntarily Terminated,Production       ,David Stanley,Glassdoor,Fully Meets,4.52,3
Monkfish, Erasumus,Production Technician II,MA,1450,08/17/92,M ,Married,7/11/2011,,N/A - still employed,Active,Production       ,David Stanley,Professional Society,Fully Meets,2.67,3
Roberson, May,Production Technician II,MA,1902,5/9/1981,F,Divorced,9/26/2011,10/22/11,return to school,Voluntarily Terminated,Production       ,David Stanley,Search Engine - Google Bing Yahoo,Fully Meets,2.19,4
Wolk, Hang  T,Production Technician II,MA,2302,04/20/85,F,Single,9/29/2014,,N/A - still employed,Active,Production       ,David Stanley,Newspager/Magazine,Fully Meets,3.40,4
Bondwell, Betsy,Production Technician II,MA,2210,01/16/67,F,Single,10/1/2011,4/4/2014,career change,Voluntarily Terminated,Production       ,Elijiah Gray,Search Engine - Google Bing Yahoo,Fully Meets,1.38,5
Faller, Megan ,Production Technician II,MA,1824,09/22/78,F,Married,7/7/2014,,N/A - still employed,Active,Production       ,Elijiah Gray,Professional Society,Fully Meets,1.49,5
Hunts, Julissa,Production Technician II,MA,2021,11/3/1984,F,Single,6/6/2016,,N/A - Has not started yet,Future Start,Production       ,Elijiah Gray,Vendor Referral,Fully Meets,2.92,5
Lunquist, Lisa,Production Technician II,MA,2324,03/28/82,F,Single,8/19/2013,,N/A - still employed,Active,Production       ,Elijiah Gray,Glassdoor,Exceeds,1.64,4
Nowlan, Kristie,Production Technician II,MA,1040,11/23/85,F,Single,10/11/2014,,N/A - still employed,Active,Production       ,Elijiah Gray,Glassdoor,Fully Meets,4.53,5
Smith, Joe,Production Technician II,MA,2045,10/30/63,M ,Single,9/29/2014,,N/A - still employed,Active,Production       ,Elijiah Gray,Pay Per Click - Google,Exceeds,2.41,3
Tejeda, Lenora ,Production Technician II,MA,2129,05/24/53,F,Married,5/16/2011,8/7/2012,Another position,Voluntarily Terminated,Production       ,Elijiah Gray,Search Engine - Google Bing Yahoo,Fully Meets,3.93,3
Beak, Kimberly  ,Production Technician II,MA,2145,04/17/66,F,Married,7/21/2016,,N/A - Has not started yet,Future Start,Production       ,Kelley Spirea,Employee Referral,Exceeds,2.70,3
Demita, Carla,Production Technician II,MA,2343,02/25/51,F,Separated,4/4/2011,4/11/2015,more money,Voluntarily Terminated,Production       ,Kelley Spirea,Search Engine - Google Bing Yahoo,Fully Meets,4.62,5
Hankard, Earnest,Production Technician II,MA,2155,10/8/1988,M ,Single,11/11/2013,,N/A - still employed,Active,Production       ,Kelley Spirea,Newspager/Magazine,Fully Meets,5.00,3
Hendrickson, Trina,Production Technician II,MA,2021,08/27/72,F,Single,10/1/2011,02/18/13,hours,Voluntarily Terminated,Production       ,Kelley Spirea,Monster.com,Fully Meets,5.00,3
Linden, Mathew,Production Technician II,MA,1770,03/19/79,M ,Married,8/7/2013,,N/A - still employed,Leave of Absence,Production       ,Kelley Spirea,Information Session,Fully Meets,4.00,3
Moran, Patrick,Production Technician II,MA,2127,3/12/1976,M ,Single,9/1/2012,,N/A - still employed,Leave of Absence,Production       ,Kelley Spirea,Diversity Job Fair,Fully Meets,2.50,4
Sahoo, Adil,Production Technician II,MA,2062,04/26/86,M ,Married,8/30/2010,,N/A - still employed,Active,Production       ,Kelley Spirea,Monster.com,Fully Meets,2.08,3
Burkett, Benjamin ,Production Technician II,MA,1890,08/19/77,M ,Married,4/4/2011,,N/A - still employed,Active,Production       ,Ketsia Liebig,Careerbuilder,Fully Meets,3.25,5
Foreman, Tanya,Production Technician II,MA,2170,8/11/1983,F,Married,4/4/2011,9/1/2012,career change,Voluntarily Terminated,Production       ,Ketsia Liebig,Word of Mouth,Fully Meets,3.66,3
Jeannite, Tayana,Production Technician II,MA,1821,6/11/1986,F,Divorced,5/7/2011,,N/A - still employed,Active,Production       ,Ketsia Liebig,MBTA ads,Exceeds,4.60,4
McCarthy, Brigit,Production Technician II,MA,2149,05/21/87,F,Single,3/30/2015,,N/A - still employed,Active,Production       ,Ketsia Liebig,Newspager/Magazine,Fully Meets,5.00,5
Peters, Lauren,Production Technician II,MA,1886,08/17/86,F,Married,5/16/2011,4/2/2012,more money,Voluntarily Terminated,Production       ,Ketsia Liebig,Pay Per Click - Google,Exceeds,1.79,5
Walker, Roger,Production Technician II,MA,2459,10/2/1976,M ,Single,8/18/2014,,N/A - still employed,Active,Production       ,Ketsia Liebig,Employee Referral,Fully Meets,3.11,5
Akinkuolie, Sarah,Production Technician II,MA,1810,09/19/88,F,Married,5/7/2011,09/24/12,hours,Voluntarily Terminated,Production       ,Kissy Sullivan,Newspager/Magazine,Fully Meets,3.02,3
Davis, Daniel,Production Technician II,MA,2458,09/14/79,M ,Single,7/11/2011,,N/A - still employed,Active,Production       ,Kissy Sullivan,Newspager/Magazine,Fully Meets,3.96,4
Gosciminski, Phylicia  ,Production Technician II,MA,1824,8/12/1983,F,Separated,9/30/2013,,N/A - still employed,Leave of Absence,Production       ,Kissy Sullivan,Word of Mouth,Fully Meets,2.57,5
Latif, Mohammed,Production Technician II,MA,2126,9/5/1984,M ,Married,2/4/2012,04/15/13,more money,Voluntarily Terminated,Production       ,Kissy Sullivan,Word of Mouth,Fully Meets,1.84,3
Monterro, Luisa,Production Technician II,MA,2126,04/24/70,F,Single,5/13/2013,,N/A - still employed,Active,Production       ,Kissy Sullivan,Billboard,Exceeds,2.55,3
Robertson, Peter,Production Technician II,MA,2138,3/7/1972,M ,Married,5/7/2011,8/2/2012,Another position,Voluntarily Terminated,Production       ,Kissy Sullivan,Glassdoor,Fully Meets,2.48,5
Woodson, Jason,Production Technician II,MA,1810,11/5/1985,M ,Single,7/7/2014,,N/A - still employed,Active,Production       ,Kissy Sullivan,Vendor Referral,Fully Meets,4.07,4
Blount, Dianna,Production Technician II,MA,2171,09/21/90,F,Single,4/4/2011,,N/A - still employed,Active,Production       ,Michael Albert,Monster.com,Needs Improvement,1.16,3
Erilus, Angela,Production Technician II,MA,2133,08/25/89,F,Separated,7/7/2014,,N/A - still employed,Active,Production       ,Michael Albert,Pay Per Click - Google,PIP,4.59,1
Homberger, Adrienne  J,Production Technician II,MA,2445,02/16/84,F,Married,8/15/2011,7/4/2012,relocation out of area,Voluntarily Terminated,Production       ,Michael Albert,Glassdoor,Fully Meets,3.03,5
Lundy, Susan,Production Technician II,MA,2122,12/26/76,F,Widowed,8/7/2013,09/15/13,more money,Voluntarily Terminated,Production       ,Michael Albert,On-campus Recruiting,Fully Meets,4.65,4
Moumanil, Maliki ,Production Technician II,MA,1460,1/12/1974,M ,Separated,5/13/2013,,N/A - still employed,Active,Production       ,Michael Albert,On-campus Recruiting,Fully Meets,4.29,5
Sloan, Constance,Production Technician II,MA,1851,11/25/87,F,Single,10/26/2009,8/4/2015,maternity leave - did not return,Voluntarily Terminated,Production       ,Michael Albert,Monster.com,Fully Meets,4.68,4
Buccheri, Joseph  ,Production Technician II,MA,1013,07/28/83,M ,Single,9/29/2014,,N/A - still employed,Active,Production       ,Webster Butler,Word of Mouth,Fully Meets,3.19,3
Fancett, Nicole,Production Technician II,MA,2324,09/27/87,F,Single,2/17/2014,,N/A - still employed,Active,Production       ,Webster Butler,Newspager/Magazine,Fully Meets,4.00,4
Hutter, Rosalie,Production Technician II,MA,2351,7/5/1992,F,Separated,5/6/2015,,N/A - Has not started yet,Future Start,Production       ,Webster Butler,Other,Fully Meets,2.63,3
Manchester, Robyn,Production Technician II,MA,2324,08/25/76,F,Married,11/5/2016,,N/A - Has not started yet,Future Start,Production       ,Webster Butler,Vendor Referral,Fully Meets,5.00,3
Oliver, Brooke ,Production Technician II,MA,2492,11/2/1952,F,Married,5/14/2012,08/19/13,unhappy,Voluntarily Terminated,Production       ,Webster Butler,Newspager/Magazine,Fully Meets,5.00,3
Thibaud, Kenneth,Production Technician II,MA,2472,09/16/75,M ,Widowed,6/25/2007,08/30/10,military,Voluntarily Terminated,Production       ,Webster Butler,Pay Per Click - Google,Fully Meets,1.37,4
Daneault, Lynn,Sales Manager,VT,5473,04/19/90,F,Single,5/5/2014,,N/A - still employed,Active,Sales,Debra Houlihan,Pay Per Click - Google,Fully Meets,4.62,4
Kampew, Donysha,Sales Manager,PA,19444,11/11/1989,F,Single,7/11/2011,04/24/14,maternity leave - did not return,Voluntarily Terminated,Sales,Debra Houlihan,Social Networks - Facebook Twitter etc,Fully Meets,1.90,5
Smith, John,Sales Manager,MA,1886,08/16/84,M ,Divorced,5/18/2014,,N/A - still employed,Active,Sales,Debra Houlihan,Diversity Job Fair,Needs Improvement,1.62,4
Le, Binh,Senior BI Developer,MA,1886,06/14/87,F,Single,2/10/2016,,N/A - still employed,Active,IT/IS,Brian Champaigne,Indeed,Fully Meets,2.09,5
Navathe, Kurt,Senior BI Developer,MA,2056,04/25/70,M ,Single,10/2/2017,,N/A - still employed,Active,IT/IS,Brian Champaigne,Indeed,Fully Meets,5.00,3
Wang, Charlie,Senior BI Developer,MA,1887,8/7/1981,M ,Single,2/15/2017,,N/A - still employed,Active,IT/IS,Brian Champaigne,Indeed,Fully Meets,3.42,4
LeBlanc, Brandon  R,Shared Services Manager,MA,1460,10/6/1984,M ,Married,5/1/2016,,N/A - still employed,Active,Admin Offices,Janet King,Monster.com,Fully Meets,1.95,4
Quinn, Sean,Shared Services Manager,MA,2045,6/11/1984,M ,Married,2/21/2011,08/15/15,career change,Voluntarily Terminated,Admin Offices,Janet King,Diversity Job Fair,Fully Meets,4.15,4
Andreola, Colby,Software Engineer,MA,2110,05/24/79,F,Single,10/11/2014,,N/A - still employed,Active,Software Engineering,Alex Sweetwater,Vendor Referral,Fully Meets,3.04,3
Carabbio, Judith,Software Engineer,MA,2132,5/4/1987,F,Single,11/11/2013,,N/A - still employed,Active,Software Engineering,Alex Sweetwater,Pay Per Click - Google,Fully Meets,4.96,4
Del Bosque, Keyla,Software Engineer,MA,2176,5/7/1979,F,Single,9/1/2012,,N/A - still employed,Active,Software Engineering,Alex Sweetwater,Monster.com,Fully Meets,3.79,5
Exantus, Susan,Software Engineer,MA,1749,05/15/87,F,Married,2/5/2011,5/6/2013,attendance,Terminated for Cause,Software Engineering,Alex Sweetwater,Billboard,Needs Improvement,2.55,5
Martin, Sandra,Software Engineer,MA,2135,7/11/1987,F,Single,11/11/2013,,N/A - still employed,Active,Software Engineering,Alex Sweetwater,Search Engine - Google Bing Yahoo,Fully Meets,1.53,5
Patronick, Luke,Software Engineer,MA,1844,02/20/79,M ,Single,7/11/2011,7/9/2015,Another position,Voluntarily Terminated,Software Engineering,Alex Sweetwater,Diversity Job Fair,Exceeds,1.10,5
Saada, Adell,Software Engineer,MA,2132,07/24/86,F,Married,5/11/2012,,N/A - still employed,Active,Software Engineering,Alex Sweetwater,Pay Per Click - Google,Fully Meets,1.74,3
Szabo, Andrew,Software Engineer,MA,2140,6/5/1983,M ,Single,7/7/2014,,N/A - still employed,Active,Software Engineering,Alex Sweetwater,MBTA ads,Exceeds,2.61,5
TRUE, Edward,Software Engineer,MA,2451,06/14/83,M ,Single,2/18/2013,04/15/14,medical issues,Voluntarily Terminated,Software Engineering,Alex Sweetwater,Diversity Job Fair,Fully Meets,1.11,3
